State,Country,Latitude,Longtitude,Confirmed,Deaths,Recovered,Active,Fatality Ratio
Virginia,US,36.76366949,-77.8593436,341,4,0,337,1.173020528
Virginia,US,37.26818323,-82.03749726,120,2,0,118,1.666666667
Virginia,US,37.57242268,-78.52518834,675,9,0,666,1.333333333
Virginia,US,37.73484642,-79.35296097,79,1,0,78,1.265822785
Virginia,US,37.20553386,-79.09678609,395,4,0,391,1.012658228
Virginia,US,38.02679129,-77.34901405,326,5,0,321,1.533742331
Virginia,US,36.73066666,-80.73455942,468,21,0,447,4.487179487
Virginia,US,37.35358063,-77.05634116,81,5,0,76,6.172839506
Virginia,US,37.01909701,-78.66314092,99,0,0,99,0
Virginia,US,38.03527919,-78.48569588,1021,27,0,994,2.64446621
Virginia,US,36.67670048,-76.30545744,4169,66,0,4103,1.583113456
Virginia,US,37.37373208,-77.5868014,5702,90,0,5612,1.578393546
Virginia,US,39.11271747,-77.99199425,91,0,0,91,0
Virginia,US,37.26420587,-77.39609676,242,24,0,218,9.917355372
